DeviceObj,Circuit,Location,Debug,Three Phase
Dishwasher,MWSB.5.DHB.2.T2BA.L2BAsec2.34,4016,,
Outlets ,MWSB.5.DHB.2.T2BA.L2BAsec2.34,4022,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.35,4014,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.37,4014,,
Clothes Dryer,MWSB.5.DHB.2.T2BA.L2BAsec2.39,4014,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.40,4016,,
Clothes Dryer,MWSB.5.DHB.2.T2BA.L2BAsec2.41,4014,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.42,4016,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.43,4016,,
Wall Oven,MWSB.5.DHB.2.T2BA.L2BAsec2.44,4016,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.45,4016,,
Wall Oven,MWSB.5.DHB.2.T2BA.L2BAsec2.46,4016,,
Clothes Dryer,MWSB.5.DHB.2.T2BA.L2BAsec2.47,4016,,
Electric Range,MWSB.5.DHB.2.T2BA.L2BAsec2.48,4016,,
Clothes Dryer,MWSB.5.DHB.2.T2BA.L2BAsec2.49,4016,,
Electric Range,MWSB.5.DHB.2.T2BA.L2BAsec2.50,4016,,
Air Condenser,MWSB.5.DHB.2.T2BA.L2BAsec2.51,4016,,
Electric Range,MWSB.5.DHB.2.T2BA.L2BAsec2.52,4016,,
Air Condenser,MWSB.5.DHB.2.T2BA.L2BAsec2.53,4016,,
Electric Range,MWSB.5.DHB.2.T2BA.L2BAsec2.54,4016,,
Air Condenser,MWSB.5.DHB.2.T2BA.L2BAsec2.56,4033,,
Air Condenser,MWSB.5.DHB.2.T2BA.L2BAsec2.58,4033,,
Handicap door (South),MWSB.5.DHB.3.T1A.L1A.1,3007A,,
Outlets,MWSB.5.DHB.3.T1A.L1A.2,3110,,
Outlets,MWSB.5.DHB.3.T1A.L1A.2,3007,,
Outlets,MWSB.5.DHB.3.T1A.L1A.2,3008,,
Water Cooler,MWSB.5.DHB.3.T1A.L1A.2,3008A,,
Hand dryer,MWSB.5.DHB.3.T1A.L1A.3,3111,,
Outlets,MWSB.5.DHB.3.T1A.L1A.4,3112,,
Outlets,MWSB.5.DHB.3.T1A.L1A.5,3112,,
Outlets,MWSB.5.DHB.3.T1A.L1A.6,3112,,
Outlets,MWSB.5.DHB.3.T1A.L1A.7,3113,,
Outlets,MWSB.5.DHB.3.T1A.L1A.8,3113,,
Outlets,MWSB.5.DHB.3.T1A.L1A.9,3113,,
Outlets,MWSB.5.DHB.3.T1A.L1A.10,3114,,
Outlets,MWSB.5.DHB.3.T1A.L1A.11,3114,,
Outlets,MWSB.5.DHB.3.T1A.L1A.12,3114,,
UV,MWSB.5.DHB.3.T1A.L1A.13,3011,,
UV,MWSB.5.DHB.3.T1A.L1A.14,3008,,
UV,MWSB.5.DHB.3.T1A.L1A.14,3009,,
UV,MWSB.5.DHB.3.T1A.L1A.14,3010,,
UV,MWSB.5.DHB.3.T1A.L1A.15,3113,,
UV,MWSB.5.DHB.3.T1A.L1A.15,3114,,
UV,MWSB.5.DHB.3.T1A.L1A.15,3020,,
UV,MWSB.5.DHB.3.T1A.L1A.15,3025,,
UV,MWSB.5.DHB.3.T1A.L1A.16,3112,,
UV,MWSB.5.DHB.3.T1A.L1A.16,3024,,
Outlets,MWSB.5.DHB.3.T1A.L1A.17,3025,,
UV,MWSB.5.DHB.3.T1A.L1A.18,3009,,
CUH Corr,MWSB.5.DHB.3.T1A.L1A.18,3007,,
Door,MWSB.5.DHB.3.T1A.L1A.18,,,
Outlets,MWSB.5.DHB.3.T1A.L1A.19,3025,,
Double Oven,MWSB.5.DHB.3.T1A.L1A.21,3025,,
Double Oven,MWSB.5.DHB.3.T1A.L1A.23,3025,,
Outlets,MWSB.5.DHB.3.T1A.L1A.29,3008,,
Outlets,MWSB.5.DHB.3.T1A.L1A.29,3009,,
Outlets,MWSB.5.DHB.3.T1A.L1A.30,3008,,
Outlets,MWSB.5.DHB.3.T1A.L1A.30,3009,,
Handicap door (North),MWSB.5.DHB.4.T1DA.L1DA.1,,,
Outlets,MWSB.5.DHB.4.T1DA.L1DA.2,3115,,
Outlets,MWSB.5.DHB.4.T1DA.L1DA.3,3115,,
Outlets,MWSB.5.DHB.4.T1DA.L1DA.4,3115,,
Outlets,MWSB.5.DHB.4.T1DA.L1DA.5,3116,,
Outlets,MWSB.5.DHB.4.T1DA.L1DA.6,3116,,
Outlets,MWSB.5.DHB.4.T1DA.L1DA.7,3116,,
Outlets,MWSB.5.DHB.4.T1DA.L1DA.8,3117,,
Outlets,MWSB.5.DHB.4.T1DA.L1DA.9,3117,,
Outlets,MWSB.5.DHB.4.T1DA.L1DA.10,3117,,
Hand dryer,MWSB.5.DHB.4.T1DA.L1DA.11,3118,,
Corridor Outlets,MWSB.5.DHB.4.T1DA.L1DA.12,3110,,
Corridor Water cooler,MWSB.5.DHB.4.T1DA.L1DA.12,3110,,
UV,MWSB.5.DHB.4.T1DA.L1DA.13,3029,,
UV,MWSB.5.DHB.4.T1DA.L1DA.13,3030,,
UV,MWSB.5.DHB.4.T1DA.L1DA.14,3099,,
UV,MWSB.5.DHB.4.T1DA.L1DA.14,3100,,
UV,MWSB.5.DHB.4.T1DA.L1DA.14,3098,,
UV,MWSB.5.DHB.4.T1DA.L1DA.15,3101B,,
UV,MWSB.5.DHB.4.T1DA.L1DA.16,3101,,
UV,MWSB.5.DHB.4.T1DA.L1DA.17,3117,,
CUH corr,MWSB.5.DHB.4.T1DA.L1DA.17,,,
UV,MWSB.5.DHB.4.T1DA.L1DA.18,3115,,
UV,MWSB.5.DHB.4.T1DA.L1DA.18,3116,,
UV,MWSB.5.DHB.4.T1DA.L1DA.18,3123,,
Washer,MWSB.5.DHB.5.T2A.L2A.1,4016,,
Outlets,MWSB.5.DHB.5.T2A.L2A.2,4008,,
Outlets,MWSB.5.DHB.5.T2A.L2A.3,4008,,
Outlets,MWSB.5.DHB.5.T2A.L2A.4,4008,,
Outlets,MWSB.5.DHB.5.T2A.L2A.5,4007,,
Outlets,MWSB.5.DHB.5.T2A.L2A.6,4007,,
Outlets,MWSB.5.DHB.5.T2A.L2A.7,4007,,
Outlets,MWSB.5.DHB.5.T2A.L2A.8,4006,,
Outlets,MWSB.5.DHB.5.T2A.L2A.9,4006,,
Outlets,MWSB.5.DHB.5.T2A.L2A.10,4006,,
Outlets,MWSB.5.DHB.5.T2A.L2A.11,4005,,
Outlets,MWSB.5.DHB.5.T2A.L2A.12,4005,,
Outlets,MWSB.5.DHB.5.T2A.L2A.13,4005,,
Outlets,MWSB.5.DHB.5.T2A.L2A.14,4016,,
Outlets,MWSB.5.DHB.5.T2A.L2A.15,4016,,
Outlets,MWSB.5.DHB.5.T2A.L2A.16,4016,,
Outlets,MWSB.5.DHB.5.T2A.L2A.17,4014,,
Bathroom,MWSB.5.DHB.5.T2A.L2A.17,4015,,
Bathroom,MWSB.5.DHB.5.T2A.L2A.17,4015A,,
Outlets,MWSB.5.DHB.5.T2A.L2A.18,4013,,
Outlets,MWSB.5.DHB.5.T2A.L2A.18,4014,,
Outlets,MWSB.5.DHB.5.T2A.L2A.19,4014,,
Outlets,MWSB.5.DHB.5.T2A.L2A.21,4013,,
Outlets,MWSB.5.DHB.5.T2A.L2A.21,4014,,
Outlets,MWSB.5.DHB.5.T2A.L2A.22,4012,,
Outlets,MWSB.5.DHB.5.T2A.L2A.23,4011,,
Hand dryer,MWSB.5.DHB.5.T2A.L2A.24,4010,,
Outlets,MWSB.5.DHB.5.T2A.L2A.25,4009,,
UV,MWSB.5.DHB.5.T2A.L2A.26,4090,,
UV,MWSB.5.DHB.5.T2A.L2A.27,4074,,
UV,MWSB.5.DHB.5.T2A.L2A.28,4007,,
UV,MWSB.5.DHB.5.T2A.L2A.28,4008,,
UV,MWSB.5.DHB.5.T2A.L2A.29,4005,,
UV,MWSB.5.DHB.5.T2A.L2A.29,4006,,
UV,MWSB.5.DHB.5.T2A.L2A.29,4004,,
UV,MWSB.5.DHB.5.T2A.L2A.30,4014,,
UV,MWSB.5.DHB.5.T2A.L2A.30,4016,,
Hand dryer,MWSB.5.DHB.5.T2A.L2A.31,4015,,
Washer,MWSB.5.DHB.5.T2A.L2A.32,4014,,
Hand dryer,MWSB.5.DHB.5.T2A.L2A.33,4015A,,
Gas range,MWSB.5.DHB.5.T2A.L2A.34,4016,,
Dishwasher,MWSB.5.DHB.5.T2A.L2A.35,4014,,
Exhaust hood,MWSB.5.DHB.5.T2A.L2A.37,4014,,
Disposal,MWSB.5.DHB.5.T2A.L2A.41,4016,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.2,4020,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.3,4020,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.4,4020,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.5,4021,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.6,4021,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.7,4021A,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.8,4021A,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.9,4068,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.10,4068,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.11,4068,,
Lights vestibule,MWSB.5.DHB.6.T2DA.L2DA.12,4018,,
Lights Library (wall),MWSB.5.DHB.6.T2DA.L2DA.14,3037A,,
Lights Library (wall),MWSB.5.DHB.6.T2DA.L2DA.15,3037A,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.16,4064,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.17,4064,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.18,4064,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.19,4063,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.20,4063,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.21,4063,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.22,4062,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.23,4062,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.24,4062,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.25,4061,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.26,4061,,
Outlets,MWSB.5.DHB.6.T2DA.L2DA.27,4061,,
UV,MWSB.5.DHB.6.T2DA.L2DA.28,4082,,
UV,MWSB.5.DHB.6.T2DA.L2DA.28,4083,,
UV,MWSB.5.DHB.6.T2DA.L2DA.29,4063,,
UV,MWSB.5.DHB.6.T2DA.L2DA.29,4064,,
UV,MWSB.5.DHB.6.T2DA.L2DA.30,4089,,
UV,MWSB.5.DHB.6.T2DA.L2DA.31,4060,,
UV,MWSB.5.DHB.6.T2DA.L2DA.31,4061,,
UV,MWSB.5.DHB.6.T2DA.L2DA.31,4062,,
UV,MWSB.5.DHB.6.T2DA.L2DA.32,4020,,
UV,MWSB.5.DHB.6.T2DA.L2DA.32,4021,,
UV,MWSB.5.DHB.6.T2DA.L2DA.33,4021A,,
AC Unit,MWSB.5.DHB.6.T2DA.L2DA.37,4020,,
Condenser (Rooftop),MWSB.5.DHB.6.T2DA.L2DA.38,3101,,
Outlets AC Unit,MWSB.5.DHB.6.T2DA.L2DA.39,4020,,
Condenser (Rooftop),MWSB.5.DHB.6.T2DA.L2DA.40,3101,,
AC Unit,MWSB.5.DHB.6.T2DA.L2DA.41,4020,,
Condenser (Rooftop),MWSB.5.DHB.6.T2DA.L2DA.42,3101,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.2,4059,,
Outlets corr,MWSB.5.DHB.9.T2CA.L2CA.2,4019,,
Outlets Water cooler,MWSB.5.DHB.9.T2CA.L2CA.2,4019,,
Hand Dryer,MWSB.5.DHB.9.T2CA.L2CA.3,4057,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.4,4055,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.4,4056,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.4,4059A,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.5,4045,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.5,4046A,,
AHU-10 controls,MWSB.5.DHB.9.T2CA.L2CA.5,,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.6,4046,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.7,4046,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.8,4046,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.9,4046,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.10,4046,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.11,4046,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.12,4046,,
Outlets,MWSB.5.DHB.9.T2CA.L2CA.13,4046,,
Contactor Controls,MWSB.5.DHB.9.T2CA.L2CA.13,,,
Destratification Fans Library,MWSB.5.DHB.9.T2CA.L2CA.14,3037,,
Hand dryer,MWSB.5.DHB.9.T2CA.L2CA.15,4056,,
Destratification Fans Library,MWSB.5.DHB.9.T2CA.L2CA.16,3037,,
Hand dryer,MWSB.5.DHB.9.T2CA.L2CA.17,4055,,
Air conditioning unit,MWSB.5.DHB.9.T2CA.L2CA.18,4041,,
Air conditioning unit,MWSB.5.DHB.9.T2CA.L2CA.20,4041,,
Outlets copier,MWSB.5.DHB.9.T2CA.L2CA.23,4042,,
UV,MWSB.5.DHB.9.T2CA.L2CA.28,4040,,
UV,MWSB.5.DHB.9.T2CA.L2CA.28,4043,,
UV,MWSB.5.DHB.9.T2CA.L2CA.29,4049,,
UV,MWSB.5.DHB.9.T2CA.L2CA.29,4050,,
UV,MWSB.5.DHB.9.T2CA.L2CA.30,4052,,
UV,MWSB.5.DHB.9.T2CA.L2CA.30,4052A,,
UV,MWSB.5.DHB.9.T2CA.L2CA.31,4053,,
UV,MWSB.5.DHB.9.T2CA.L2CA.31,4058,,
spare at UV,MWSB.5.DHB.9.T2CA.L2CA.32,4058,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.2,3060,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.2,3056,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.3,3056,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.4,3058,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.5,3065,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.6,3064,,
Hand Dryer,MWSB.5.DHB.10.T1BA.L1BA.7,3017,,
Hand Dryer,MWSB.5.DHB.10.T1BA.L1BA.8,3044,,
Hand Dryer,MWSB.5.DHB.10.T1BA.L1BA.9,3045,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.10,3037,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.10,3130,,
